variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
gene-SPN23F_RS08860	1.20E-01	3.10E-04	5.42E-01	1.28E-01	2.10E-01	3.54E-02	
gene-SPN23F_RS08865	3.67E-01	6.80E-02	5.95E-01	5.09E-02	9.56E-02	3.08E-02	
gene-SPN23F_RS08870	1.67E-01	3.80E-06	6.18E-01	-7.51E-02	1.50E-01	2.89E-02	
gene-SPN23F_RS08880	3.63E-01	1.48E-03	5.93E-01	4.27E-02	7.98E-02	3.10E-02	
gene-SPN23F_RS13970	1.27E-01	4.54E-01	7.95E-01	3.05E-02	1.17E-01	1.51E-02	
gene-SPN23F_RS08890	2.40E-01	2.80E-02	7.01E-01	-3.85E-02	1.00E-01	2.23E-02	
gene-SPN23F_RS08900	2.10E-01	6.27E-01	5.73E-01	-4.79E-02	8.49E-02	3.27E-02	
gene-SPN23F_RS08905	7.00E-02	3.08E-03	2.69E-01	-1.64E-01	1.48E-01	6.40E-02	bad-chisq
gene-SPN23F_RS08910	2.80E-01	1.67E-02	9.98E-01	1.79E-04	6.66E-02	1.55E-04	
gene-SPN23F_RS08915	1.77E-01	7.03E-01	8.04E-01	2.48E-02	1.00E-01	1.44E-02	
gene-SPN23F_RS08920	1.23E-01	1.71E-01	4.79E-01	-6.41E-02	9.05E-02	4.10E-02	
gene-SPN23F_RS08925	1.77E-01	9.76E-02	8.63E-01	-1.73E-02	1.00E-01	1.00E-02	
gene-SPN23F_RS08930	2.00E-01	4.29E-01	8.95E-01	-1.06E-02	8.02E-02	7.66E-03	
gene-SPN23F_RS08935	2.00E-01	6.27E-01	7.61E-01	2.55E-02	8.35E-02	1.77E-02	
gene-SPN23F_RS08940	1.80E-01	4.21E-01	9.79E-01	2.69E-03	1.02E-01	1.53E-03	
gene-SPN23F_RS08945	4.33E-02	3.86E-02	7.58E-01	-4.08E-02	1.32E-01	1.78E-02	bad-chisq
gene-SPN23F_RS08950	1.13E-01	2.95E-02	2.49E-01	-9.91E-02	8.57E-02	6.68E-02	
gene-SPN23F_RS08955	2.23E-01	1.44E-01	8.67E-01	-1.30E-02	7.76E-02	9.68E-03	
gene-SPN23F_RS08975	9.00E-02	4.62E-01	2.92E-01	8.79E-02	8.32E-02	6.11E-02	
gene-SPN23F_RS08980	2.13E-01	1.40E-01	5.09E-01	-5.69E-02	8.62E-02	3.82E-02	
gene-SPN23F_RS12555	2.60E-01	2.81E-03	7.08E-01	-2.77E-02	7.40E-02	2.17E-02	
gene-SPN23F_RS08995	1.50E-01	2.40E-01	8.05E-01	-2.56E-02	1.04E-01	1.43E-02	
gene-SPN23F_RS14270	2.47E-01	1.27E-01	7.69E-01	-2.52E-02	8.59E-02	1.70E-02	
gene-SPN23F_RS09000	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS09005	6.67E-02	1.77E-02	6.56E-01	-1.01E-01	2.27E-01	2.58E-02	
gene-SPN23F_RS09010	8.33E-02	2.56E-01	8.99E-01	1.69E-02	1.33E-01	7.34E-03	
gene-SPN23F_RS09015	7.20E-01	7.53E-01	6.98E-01	-4.97E-02	1.28E-01	2.25E-02	
gene-SPN23F_RS13435	6.27E-01	6.61E-04	5.94E-01	-6.17E-02	1.16E-01	3.09E-02	
gene-SPN23F_RS09025	4.73E-01	2.47E-01	8.35E-01	-1.96E-02	9.42E-02	1.21E-02	
