variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
gene-SPN23F_RS11155	5.00E-01	7.15E-01	8.63E-02	-1.61E-01	9.34E-02	9.92E-02	
gene-SPN23F_RS11160	6.67E-02	3.63E-01	4.87E-01	-9.31E-02	1.34E-01	4.03E-02	
gene-SPN23F_RS11175	9.10E-01	1.13E-01	4.44E-01	8.76E-02	1.14E-01	4.44E-02	
gene-SPN23F_RS11180	9.07E-01	3.18E-04	7.00E-01	4.41E-02	1.14E-01	2.23E-02	bad-chisq
gene-SPN23F_RS11185	6.40E-01	3.21E-01	8.01E-01	1.93E-02	7.64E-02	1.46E-02	
gene-SPN23F_RS11190	9.53E-01	1.56E-02	8.83E-01	-2.39E-02	1.62E-01	8.53E-03	
gene-SPN23F_RS11210	7.40E-01	6.71E-03	7.88E-01	-2.70E-02	1.00E-01	1.56E-02	
gene-SPN23F_RS11215	9.00E-02	1.49E-02	4.21E-01	1.08E-01	1.34E-01	4.67E-02	
gene-SPN23F_RS11220	5.03E-01	6.00E-01	4.58E-01	-6.74E-02	9.07E-02	4.30E-02	
gene-SPN23F_RS11225	3.17E-01	2.39E-03	8.63E-01	1.42E-02	8.26E-02	9.97E-03	
gene-SPN23F_RS11230	8.03E-01	5.01E-05	5.21E-01	7.98E-02	1.24E-01	3.72E-02	
gene-SPN23F_RS11240	5.07E-01	1.57E-01	6.14E-01	-4.69E-02	9.27E-02	2.93E-02	
gene-SPN23F_RS11245	5.47E-01	1.02E-01	7.54E-01	-2.83E-02	9.01E-02	1.82E-02	
gene-SPN23F_RS11250	3.00E-02	4.37E-01	9.26E-01	-2.35E-02	2.51E-01	5.42E-03	
gene-SPN23F_RS11255	7.73E-01	4.41E-01	9.75E-01	3.21E-03	1.02E-01	1.82E-03	
gene-SPN23F_RS11260	8.67E-01	4.98E-04	3.65E-01	8.79E-02	9.68E-02	5.25E-02	
gene-SPN23F_RS11265	3.57E-01	2.15E-05	5.61E-01	-4.05E-02	6.97E-02	3.37E-02	
gene-SPN23F_RS11270	3.10E-01	1.11E-01	2.11E-01	9.81E-02	7.82E-02	7.24E-02	
gene-SPN23F_RS11275	5.33E-02	4.15E-01	8.42E-01	-3.07E-02	1.54E-01	1.16E-02	
gene-SPN23F_RS11280	1.00E-02	2.08E-01	6.38E-01	-8.39E-02	1.78E-01	2.73E-02	bad-chisq
gene-SPN23F_RS11285	3.67E-02	1.45E-02	7.72E-01	-3.35E-02	1.15E-01	1.68E-02	bad-chisq
gene-SPN23F_RS11290	3.13E-01	1.83E-04	4.20E-02	-1.95E-01	9.53E-02	1.17E-01	
gene-SPN23F_RS11295	1.67E-01	9.10E-04	5.80E-01	-5.94E-02	1.07E-01	3.21E-02	
gene-SPN23F_RS11300	2.57E-01	1.30E-01	2.83E-01	-9.61E-02	8.93E-02	6.22E-02	
gene-SPN23F_RS11305	5.63E-01	2.30E-04	1.34E-01	-1.38E-01	9.16E-02	8.66E-02	
gene-SPN23F_RS11310	4.47E-01	8.08E-01	7.72E-01	-2.88E-02	9.93E-02	1.68E-02	
gene-SPN23F_RS11315	5.73E-01	8.16E-01	1.64E-01	-1.09E-01	7.80E-02	8.05E-02	
gene-SPN23F_RS11320	8.67E-02	8.97E-02	4.04E-01	-1.07E-01	1.28E-01	4.83E-02	
gene-SPN23F_RS11325	6.63E-01	4.91E-01	7.64E-01	2.47E-02	8.23E-02	1.74E-02	
gene-SPN23F_RS11330	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS11335	1.60E-01	1.31E-02	7.48E-01	-3.98E-02	1.24E-01	1.86E-02	
gene-SPN23F_RS11340	3.67E-02	4.29E-01	9.74E-01	-8.87E-03	2.69E-01	1.91E-03	
gene-SPN23F_RS11345	5.57E-01	1.12E-08	4.50E-01	-6.95E-02	9.20E-02	4.37E-02	
gene-SPN23F_RS11350	7.20E-01	3.92E-01	7.32E-02	-1.43E-01	7.96E-02	1.04E-01	
gene-SPN23F_RS11360	5.37E-01	7.56E-01	7.69E-01	-2.55E-02	8.67E-02	1.70E-02	
gene-SPN23F_RS14235	5.67E-02	9.32E-01	7.34E-01	-5.78E-02	1.70E-01	1.97E-02	
gene-SPN23F_RS11380	2.03E-01	2.34E-01	3.98E-01	8.21E-02	9.70E-02	4.90E-02	
gene-SPN23F_RS11385	3.20E-01	1.82E-03	6.34E-01	-4.30E-02	9.00E-02	2.76E-02	
gene-SPN23F_RS11390	7.00E-01	1.82E-02	1.39E-01	1.23E-01	8.30E-02	8.56E-02	
gene-SPN23F_RS11395	9.30E-01	1.84E-01	5.01E-02	-2.63E-01	1.34E-01	1.13E-01	
gene-SPN23F_RS11400	2.77E-01	4.16E-02	2.07E-01	-9.96E-02	7.87E-02	7.30E-02	
gene-SPN23F_RS11405	5.33E-01	4.75E-01	3.03E-01	-7.80E-02	7.56E-02	5.97E-02	
gene-SPN23F_RS11410	6.20E-01	3.34E-01	8.97E-02	-1.41E-01	8.30E-02	9.81E-02	
gene-SPN23F_RS11415	4.00E-01	5.29E-02	5.21E-01	5.21E-02	8.12E-02	3.72E-02	
gene-SPN23F_RS12760	9.87E-01	5.36E-03	5.56E-04	-9.76E-01	2.80E-01	1.98E-01	bad-chisq
gene-SPN23F_RS11425	8.23E-01	2.25E-01	1.22E-01	-1.19E-01	7.69E-02	8.94E-02	
gene-SPN23F_RS11430	1.67E-01	4.42E-02	5.88E-01	-5.22E-02	9.62E-02	3.14E-02	
gene-SPN23F_RS11435	4.20E-01	2.94E-01	8.64E-01	-1.17E-02	6.80E-02	9.94E-03	
gene-SPN23F_RS11445	7.77E-01	1.47E-04	3.48E-01	-8.62E-02	9.18E-02	5.43E-02	
gene-SPN23F_RS11450	4.57E-01	3.67E-06	1.12E-01	1.16E-01	7.30E-02	9.20E-02	
gene-SPN23F_RS11455	1.27E-01	2.65E-01	9.10E-01	1.32E-02	1.16E-01	6.54E-03	
gene-SPN23F_RS11460	7.33E-02	4.69E-01	6.72E-01	-4.71E-02	1.11E-01	2.46E-02	
gene-SPN23F_RS11465	5.80E-01	5.54E-03	8.36E-01	-1.51E-02	7.30E-02	1.20E-02	
gene-SPN23F_RS11470	3.47E-01	8.66E-02	3.55E-01	7.73E-02	8.34E-02	5.36E-02	
gene-SPN23F_RS11475	7.73E-01	2.62E-02	2.13E-01	-1.34E-01	1.07E-01	7.21E-02	
gene-SPN23F_RS11485	1.73E-01	2.17E-02	8.67E-01	1.94E-02	1.16E-01	9.70E-03	
gene-SPN23F_RS11495	4.20E-01	1.15E-02	6.36E-01	-3.87E-02	8.18E-02	2.74E-02	
gene-SPN23F_RS11500	2.00E-02	3.57E-01	9.84E-01	1.36E-02	6.71E-01	1.17E-03	bad-chisq
gene-SPN23F_RS11505	1.67E-01	2.83E-05	6.07E-01	6.41E-02	1.25E-01	2.98E-02	
gene-SPN23F_RS11510	9.27E-01	1.11E-02	9.02E-01	-2.35E-02	1.90E-01	7.17E-03	
gene-SPN23F_RS11515	3.17E-01	3.44E-01	8.62E-01	1.64E-02	9.43E-02	1.00E-02	
gene-SPN23F_RS11520	5.90E-01	4.35E-04	3.91E-01	7.80E-02	9.08E-02	4.97E-02	
gene-SPN23F_RS11535	5.40E-01	1.83E-07	5.43E-01	6.34E-02	1.04E-01	3.52E-02	
gene-SPN23F_RS11540	1.83E-01	1.89E-09	5.52E-04	3.97E-01	1.14E-01	1.98E-01	
gene-SPN23F_RS11545	2.80E-01	7.53E-01	5.51E-01	-5.76E-02	9.65E-02	3.45E-02	
gene-SPN23F_RS11550	2.07E-01	4.38E-02	6.80E-01	5.22E-02	1.27E-01	2.39E-02	
gene-SPN23F_RS11555	1.70E-01	2.13E-03	4.37E-01	1.35E-01	1.74E-01	4.51E-02	
gene-SPN23F_RS11560	1.20E-01	6.86E-05	6.74E-01	1.04E-01	2.48E-01	2.44E-02	
gene-SPN23F_RS11565	1.10E-01	3.83E-02	8.70E-01	-2.10E-02	1.28E-01	9.47E-03	
gene-SPN23F_RS11570	2.63E-01	1.78E-01	2.26E-01	1.51E-01	1.24E-01	7.01E-02	
gene-SPN23F_RS11575	3.63E-01	6.90E-01	8.32E-02	1.61E-01	9.27E-02	1.00E-01	
gene-SPN23F_RS11580	2.57E-01	7.76E-03	7.75E-02	1.51E-01	8.51E-02	1.02E-01	
gene-SPN23F_RS11585	1.77E-01	6.01E-06	2.84E-02	-2.08E-01	9.42E-02	1.27E-01	
gene-SPN23F_RS11590	8.60E-01	2.09E-04	7.10E-01	5.04E-02	1.35E-01	2.16E-02	
gene-SPN23F_RS11595	6.97E-01	9.49E-01	4.67E-02	2.06E-01	1.03E-01	1.15E-01	
gene-SPN23F_RS11600	1.77E-01	9.76E-02	6.92E-01	-4.84E-02	1.22E-01	2.30E-02	
gene-SPN23F_RS11605	3.40E-01	1.25E-05	3.67E-01	-1.02E-01	1.13E-01	5.23E-02	
gene-SPN23F_RS11610	1.50E-01	2.57E-02	8.99E-01	-2.54E-02	1.99E-01	7.38E-03	
gene-SPN23F_RS11615	7.67E-02	7.49E-02	5.74E-01	-1.19E-01	2.12E-01	3.25E-02	
gene-SPN23F_RS11620	3.00E-02	1.36E-01	9.86E-01	-2.78E-03	1.56E-01	1.03E-03	bad-chisq
gene-SPN23F_RS11625	8.50E-01	4.01E-03	9.22E-01	1.52E-02	1.56E-01	5.65E-03	
gene-SPN23F_RS11645	1.67E-01	1.13E-04	6.75E-01	6.16E-02	1.47E-01	2.43E-02	
gene-SPN23F_RS11660	2.10E-01	6.27E-01	9.40E-01	-1.61E-02	2.13E-01	4.39E-03	
gene-SPN23F_RS11665	8.60E-01	1.95E-06	4.94E-01	-1.37E-01	1.99E-01	3.96E-02	
gene-SPN23F_RS11670	2.33E-02	2.58E-01	9.66E-01	-1.61E-02	3.81E-01	2.45E-03	bad-chisq
gene-SPN23F_RS11680	4.67E-02	2.82E-02	7.21E-01	-1.27E-01	3.55E-01	2.07E-02	bad-chisq
gene-SPN23F_RS11685	3.07E-01	1.41E-01	9.93E-01	1.36E-03	1.56E-01	5.05E-04	
gene-SPN23F_RS11690	2.53E-01	8.72E-04	8.42E-01	-2.20E-02	1.10E-01	1.16E-02	
