GeneID	Annotation
gene-SPN23F_RS00720	cibA
cds-WP_000180803.1	WP_000180803.1
gene-SPN23F_RS00725	tsaB
cds-WP_000865706.1	WP_000865706.1
gene-SPN23F_RS00730	rimI
cds-WP_000569831.1	WP_000569831.1
gene-SPN23F_RS00735	tsaD
cds-WP_000655033.1	WP_000655033.1
cds-SPN23F_RS00745	
cds-SPN23F_RS13720	
gene-SPN23F_RS13725	SPN23F_RS13725
cds-WP_001810713.1	WP_001810713.1
gene-SPN23F_RS13730	SPN23F_RS13730
cds-WP_000371189.1	WP_000371189.1
gene-SPN23F_RS00770	SPN23F_RS00770
cds-WP_000375722.1	WP_000375722.1
gene-SPN23F_RS00775	SPN23F_RS00775
cds-WP_000288029.1	WP_000288029.1
cds-SPN23F_RS14240	
gene-SPN23F_RS00785	SPN23F_RS00785
cds-WP_001290270.1	WP_001290270.1
gene-SPN23F_RS00790	SPN23F_RS00790
cds-WP_000069860.1	WP_000069860.1
gene-SPN23F_RS00795	SPN23F_RS00795
cds-WP_001017600.1	WP_001017600.1
gene-SPN23F_RS00800	SPN23F_RS00800
cds-WP_000570720.1	WP_000570720.1
gene-SPN23F_RS00805	SPN23F_RS00805
cds-WP_000933464.1	WP_000933464.1
gene-SPN23F_RS00810	SPN23F_RS00810
cds-WP_000720790.1	WP_000720790.1
gene-SPN23F_RS00815	SPN23F_RS00815
cds-WP_000862430.1	WP_000862430.1
gene-SPN23F_RS00825	SPN23F_RS00825
cds-WP_001141646.1	WP_001141646.1
cds-SPN23F_RS13735	
gene-SPN23F_RS00835	SPN23F_RS00835
cds-WP_000724936.1	WP_000724936.1
gene-SPN23F_RS00840	SPN23F_RS00840
cds-WP_000694512.1	WP_000694512.1
gene-SPN23F_RS00845	SPN23F_RS00845
cds-WP_000231785.1	WP_000231785.1
gene-SPN23F_RS00850	SPN23F_RS00850
cds-WP_000085677.1	WP_000085677.1
gene-SPN23F_RS00855	SPN23F_RS00855
cds-WP_000444642.1	WP_000444642.1
gene-SPN23F_RS00860	SPN23F_RS00860
cds-WP_000748391.1	WP_000748391.1
gene-SPN23F_RS00865	SPN23F_RS00865
cds-WP_000532353.1	WP_000532353.1
gene-SPN23F_RS00870	SPN23F_RS00870
cds-WP_000800582.1	WP_000800582.1
gene-SPN23F_RS00875	SPN23F_RS00875
cds-WP_000278896.1	WP_000278896.1
gene-SPN23F_RS00880	SPN23F_RS00880
cds-WP_000729035.1	WP_000729035.1
gene-SPN23F_RS00885	nrdI
cds-WP_000849621.1	WP_000849621.1
gene-SPN23F_RS00890	SPN23F_RS00890
cds-WP_000075789.1	WP_000075789.1
gene-SPN23F_RS00895	SPN23F_RS00895
cds-WP_000745054.1	WP_000745054.1
gene-SPN23F_RS00900	SPN23F_RS00900
cds-WP_000861955.1	WP_000861955.1
gene-SPN23F_RS14060	SPN23F_RS14060
cds-WP_001813544.1	WP_001813544.1
gene-SPN23F_RS00905	mutL
cds-WP_000018169.1	WP_000018169.1
gene-SPN23F_RS00910	ribE
cds-WP_001099502.1	WP_001099502.1
gene-SPN23F_RS00915	SPN23F_RS00915
cds-WP_000456639.1	WP_000456639.1
gene-SPN23F_RS00920	ribE
cds-WP_000493841.1	WP_000493841.1
gene-SPN23F_RS00925	ribD
cds-WP_001284100.1	WP_001284100.1
gene-SPN23F_RS00930	ruvA
cds-WP_000271489.1	WP_000271489.1
gene-SPN23F_RS00935	SPN23F_RS00935
cds-WP_000166600.1	WP_000166600.1
gene-SPN23F_RS00940	SPN23F_RS00940
cds-WP_000987429.1	WP_000987429.1
gene-SPN23F_RS00945	SPN23F_RS00945
cds-WP_000255102.1	WP_000255102.1
gene-SPN23F_RS00950	SPN23F_RS00950
cds-WP_000078027.1	WP_000078027.1
gene-SPN23F_RS00955	SPN23F_RS00955
cds-WP_000815629.1	WP_000815629.1
gene-SPN23F_RS00960	uvrA
cds-WP_001152894.1	WP_001152894.1
gene-SPN23F_RS00965	SPN23F_RS00965
cds-WP_001042860.1	WP_001042860.1
gene-SPN23F_RS00970	spx
cds-WP_000591165.1	WP_000591165.1
gene-SPN23F_RS00975	SPN23F_RS00975
cds-WP_000725133.1	WP_000725133.1
gene-SPN23F_RS00980	SPN23F_RS00980
cds-WP_000507059.1	WP_000507059.1
gene-SPN23F_RS00985	ruvX
cds-WP_001808830.1	WP_001808830.1
gene-SPN23F_RS00990	SPN23F_RS00990
cds-WP_000017620.1	WP_000017620.1
gene-SPN23F_RS00995	SPN23F_RS00995
cds-WP_000464336.1	WP_000464336.1
gene-SPN23F_RS01000	SPN23F_RS01000
cds-WP_000769490.1	WP_000769490.1
gene-SPN23F_RS01005	cls
cds-WP_000877334.1	WP_000877334.1
gene-SPN23F_RS13460	SPN23F_RS13460
cds-WP_000956126.1	WP_000956126.1
gene-SPN23F_RS01015	SPN23F_RS01015
cds-WP_000118100.1	WP_000118100.1
gene-SPN23F_RS01020	nrdD
cds-WP_000560899.1	WP_000560899.1
gene-SPN23F_RS13465	SPN23F_RS13465
cds-WP_000521619.1	WP_000521619.1
gene-SPN23F_RS01030	SPN23F_RS01030
cds-WP_000423414.1	WP_000423414.1
gene-SPN23F_RS01035	nrdG
cds-WP_001064208.1	WP_001064208.1
gene-SPN23F_RS01040	SPN23F_RS01040
cds-WP_000725993.1	WP_000725993.1
gene-SPN23F_RS01045	rpsJ
cds-WP_001284513.1	WP_001284513.1
gene-SPN23F_RS01050	rplC
cds-WP_000160197.1	WP_000160197.1
gene-SPN23F_RS01055	rplD
cds-WP_000024537.1	WP_000024537.1
gene-SPN23F_RS01060	SPN23F_RS01060
cds-WP_001055347.1	WP_001055347.1
gene-SPN23F_RS01065	rplB
cds-WP_000512911.1	WP_000512911.1
gene-SPN23F_RS01070	rpsS
cds-WP_000533766.1	WP_000533766.1
gene-SPN23F_RS01075	rplV
cds-WP_000818137.1	WP_000818137.1
gene-SPN23F_RS01080	rpsC
cds-WP_000529936.1	WP_000529936.1
gene-SPN23F_RS01085	rplP
cds-WP_000960946.1	WP_000960946.1
gene-SPN23F_RS01090	rpmC
cds-WP_000772918.1	WP_000772918.1
gene-SPN23F_RS01095	rpsQ
cds-WP_000440801.1	WP_000440801.1
gene-SPN23F_RS01100	rplN
cds-WP_000616545.1	WP_000616545.1
gene-SPN23F_RS01105	rplX
cds-WP_000497691.1	WP_000497691.1
gene-SPN23F_RS01110	rplE
cds-WP_000013542.1	WP_000013542.1
gene-SPN23F_RS01115	rpsN
cds-WP_001085703.1	WP_001085703.1
gene-SPN23F_RS01120	rpsH
cds-WP_000245505.1	WP_000245505.1
gene-SPN23F_RS01125	rplF
cds-WP_000086630.1	WP_000086630.1
gene-SPN23F_RS01130	rplR
cds-WP_000624044.1	WP_000624044.1
gene-SPN23F_RS01135	rpsE
cds-WP_000874201.1	WP_000874201.1
gene-SPN23F_RS01140	rpmD
cds-WP_000057241.1	WP_000057241.1
gene-SPN23F_RS01145	rplO
cds-WP_000766087.1	WP_000766087.1
gene-SPN23F_RS01150	secY
cds-WP_000465397.1	WP_000465397.1
gene-SPN23F_RS01155	SPN23F_RS01155
cds-WP_001050431.1	WP_001050431.1
gene-SPN23F_RS01160	infA
cds-WP_001029883.1	WP_001029883.1
gene-SPN23F_RS01165	rpmJ
cds-WP_001808836.1	WP_001808836.1
gene-SPN23F_RS01170	rpsM
cds-WP_000090781.1	WP_000090781.1
gene-SPN23F_RS01175	rpsK
cds-WP_001118385.1	WP_001118385.1
gene-SPN23F_RS01180	SPN23F_RS01180
cds-WP_000568988.1	WP_000568988.1
gene-SPN23F_RS01185	rplQ
cds-WP_000331493.1	WP_000331493.1
gene-SPN23F_RS01190	SPN23F_RS01190
cds-WP_000644124.1	WP_000644124.1
gene-SPN23F_RS01195	SPN23F_RS01195
cds-WP_000354918.1	WP_000354918.1
gene-SPN23F_RS01200	SPN23F_RS01200
cds-WP_000241536.1	WP_000241536.1
cds-SPN23F_RS13205	
gene-SPN23F_RS01215	SPN23F_RS01215
cds-WP_001289362.1	WP_001289362.1
cds-SPN23F_RS11835	
cds-SPN23F_RS01230	
gene-SPN23F_RS01235	SPN23F_RS01235
cds-WP_000406171.1	WP_000406171.1
gene-SPN23F_RS01240	SPN23F_RS01240
cds-WP_000824966.1	WP_000824966.1
gene-SPN23F_RS01245	SPN23F_RS01245
cds-WP_001070840.1	WP_001070840.1
gene-SPN23F_RS01250	SPN23F_RS01250
cds-WP_000402908.1	WP_000402908.1
gene-SPN23F_RS01255	SPN23F_RS01255
cds-WP_000238716.1	WP_000238716.1
gene-SPN23F_RS01260	SPN23F_RS01260
cds-WP_001096822.1	WP_001096822.1
gene-SPN23F_RS01265	SPN23F_RS01265
cds-WP_000248305.1	WP_000248305.1
gene-SPN23F_RS01270	SPN23F_RS01270
cds-WP_000395437.1	WP_000395437.1
gene-SPN23F_RS01275	SPN23F_RS01275
cds-WP_001217828.1	WP_001217828.1
gene-SPN23F_RS01280	leuS
cds-WP_000011766.1	WP_000011766.1
gene-SPN23F_RS01285	SPN23F_RS01285
cds-WP_001144922.1	WP_001144922.1
gene-SPN23F_RS01290	SPN23F_RS01290
cds-WP_000628392.1	WP_000628392.1
gene-SPN23F_RS01295	SPN23F_RS01295
cds-WP_000970381.1	WP_000970381.1
gene-SPN23F_RS01300	ruvB
cds-WP_001860761.1	WP_001860761.1
gene-SPN23F_RS01305	SPN23F_RS01305
cds-WP_001098895.1	WP_001098895.1
gene-SPN23F_RS01310	SPN23F_RS01310
cds-WP_000466719.1	WP_000466719.1
gene-SPN23F_RS01315	SPN23F_RS01315
cds-WP_000189848.1	WP_000189848.1
gene-SPN23F_RS01320	rseP
cds-WP_000900659.1	WP_000900659.1
gene-SPN23F_RS01325	SPN23F_RS01325
cds-WP_000814080.1	WP_000814080.1
gene-SPN23F_RS01330	bglA
cds-WP_000943525.1	WP_000943525.1
gene-SPN23F_RS01335	glmS
cds-WP_000334246.1	WP_000334246.1
