GeneID	Annotation
gene-SPN23F_RS03495	SPN23F_RS03495
cds-WP_000255160.1	WP_000255160.1
gene-SPN23F_RS03500	holA
cds-WP_000879650.1	WP_000879650.1
gene-SPN23F_RS03505	sodA
cds-WP_000974746.1	WP_000974746.1
gene-SPN23F_RS03510	SPN23F_RS03510
cds-WP_001224351.1	WP_001224351.1
gene-SPN23F_RS03515	rlmN
cds-WP_000804658.1	WP_000804658.1
gene-SPN23F_RS03520	SPN23F_RS03520
cds-WP_000976708.1	WP_000976708.1
gene-SPN23F_RS03525	SPN23F_RS03525
cds-WP_000025400.1	WP_000025400.1
gene-SPN23F_RS03530	SPN23F_RS03530
cds-WP_000436233.1	WP_000436233.1
gene-SPN23F_RS03535	SPN23F_RS03535
cds-WP_000731918.1	WP_000731918.1
gene-SPN23F_RS03540	SPN23F_RS03540
cds-WP_000011699.1	WP_000011699.1
gene-SPN23F_RS03545	SPN23F_RS03545
cds-WP_000953865.1	WP_000953865.1
gene-SPN23F_RS03550	rpsP
cds-WP_000268761.1	WP_000268761.1
gene-SPN23F_RS03555	kphA
cds-WP_000379621.1	WP_000379621.1
cds-SPN23F_RS13825	
gene-SPN23F_RS03560	SPN23F_RS03560
cds-WP_000819199.1	WP_000819199.1
gene-SPN23F_RS03565	rimM
cds-WP_001105899.1	WP_001105899.1
gene-SPN23F_RS03570	trmD
cds-WP_000686921.1	WP_000686921.1
gene-SPN23F_RS03575	SPN23F_RS03575
cds-WP_001196049.1	WP_001196049.1
gene-SPN23F_RS03580	SPN23F_RS03580
cds-WP_001216099.1	WP_001216099.1
gene-SPN23F_RS03585	SPN23F_RS03585
cds-WP_000807422.1	WP_000807422.1
gene-SPN23F_RS13830	SPN23F_RS13830
cds-WP_001809980.1	WP_001809980.1
gene-SPN23F_RS03595	SPN23F_RS03595
cds-WP_000709036.1	WP_000709036.1
gene-SPN23F_RS03600	SPN23F_RS03600
cds-WP_000746105.1	WP_000746105.1
gene-SPN23F_RS03605	SPN23F_RS03605
cds-WP_000768912.1	WP_000768912.1
gene-SPN23F_RS03610	SPN23F_RS03610
cds-WP_000151029.1	WP_000151029.1
gene-SPN23F_RS03615	SPN23F_RS03615
cds-WP_000727307.1	WP_000727307.1
gene-SPN23F_RS03620	gor
cds-WP_001209571.1	WP_001209571.1
gene-SPN23F_RS03625	SPN23F_RS03625
cds-WP_000728634.1	WP_000728634.1
gene-SPN23F_RS03630	SPN23F_RS03630
cds-WP_000811482.1	WP_000811482.1
gene-SPN23F_RS03635	SPN23F_RS03635
cds-WP_001180430.1	WP_001180430.1
gene-SPN23F_RS03640	metG
cds-WP_001291369.1	WP_001291369.1
gene-SPN23F_RS13835	SPN23F_RS13835
cds-WP_001814210.1	WP_001814210.1
gene-SPN23F_RS03650	SPN23F_RS03650
cds-WP_000665420.1	WP_000665420.1
gene-SPN23F_RS03655	SPN23F_RS03655
cds-WP_000738408.1	WP_000738408.1
gene-SPN23F_RS03660	SPN23F_RS03660
cds-WP_001269471.1	WP_001269471.1
gene-SPN23F_RS03665	SPN23F_RS03665
cds-WP_000141921.1	WP_000141921.1
gene-SPN23F_RS03670	SPN23F_RS03670
cds-WP_000167105.1	WP_000167105.1
gene-SPN23F_RS03675	SPN23F_RS03675
cds-WP_000403346.1	WP_000403346.1
gene-SPN23F_RS03680	SPN23F_RS03680
cds-WP_000418692.1	WP_000418692.1
gene-SPN23F_RS03685	SPN23F_RS03685
cds-WP_001245829.1	WP_001245829.1
gene-SPN23F_RS03690	SPN23F_RS03690
cds-WP_000612881.1	WP_000612881.1
gene-SPN23F_RS03695	SPN23F_RS03695
cds-WP_001149115.1	WP_001149115.1
gene-SPN23F_RS03700	SPN23F_RS03700
cds-WP_000436228.1	WP_000436228.1
gene-SPN23F_RS03705	ciaR
cds-WP_000590619.1	WP_000590619.1
gene-SPN23F_RS03710	ciaH
cds-WP_000491790.1	WP_000491790.1
gene-SPN23F_RS03715	SPN23F_RS03715
cds-WP_001145225.1	WP_001145225.1
gene-SPN23F_RS03720	SPN23F_RS03720
cds-WP_000411854.1	WP_000411854.1
gene-SPN23F_RS03725	SPN23F_RS03725
cds-WP_000848695.1	WP_000848695.1
gene-SPN23F_RS03730	SPN23F_RS03730
cds-WP_000830659.1	WP_000830659.1
gene-SPN23F_RS03735	SPN23F_RS03735
cds-WP_000241398.1	WP_000241398.1
gene-SPN23F_RS03740	SPN23F_RS03740
cds-WP_001812999.1	WP_001812999.1
gene-SPN23F_RS03745	gyrB
cds-WP_000134047.1	WP_000134047.1
gene-SPN23F_RS03750	ezrA
cds-WP_000064817.1	WP_000064817.1
gene-SPN23F_RS03755	tnpB
cds-WP_000973421.1	WP_000973421.1
gene-SPN23F_RS03760	SPN23F_RS03760
cds-WP_000767193.1	WP_000767193.1
gene-SPN23F_RS03765	SPN23F_RS03765
cds-WP_001814211.1	WP_001814211.1
cds-SPN23F_RS12100	
gene-SPN23F_RS03775	SPN23F_RS03775
cds-WP_000882517.1	WP_000882517.1
gene-SPN23F_RS03780	SPN23F_RS03780
cds-WP_000443573.1	WP_000443573.1
gene-SPN23F_RS03785	SPN23F_RS03785
cds-WP_001011633.1	WP_001011633.1
gene-SPN23F_RS03790	SPN23F_RS03790
cds-WP_000140941.1	WP_000140941.1
gene-SPN23F_RS03795	SPN23F_RS03795
cds-WP_000192081.1	WP_000192081.1
gene-SPN23F_RS03800	SPN23F_RS03800
cds-WP_000601063.1	WP_000601063.1
gene-SPN23F_RS03805	SPN23F_RS03805
cds-WP_000863006.1	WP_000863006.1
gene-SPN23F_RS03810	rpiA
cds-WP_000429260.1	WP_000429260.1
gene-SPN23F_RS03815	SPN23F_RS03815
cds-WP_000033102.1	WP_000033102.1
gene-SPN23F_RS03820	SPN23F_RS03820
cds-WP_001814214.1	WP_001814214.1
gene-SPN23F_RS03825	SPN23F_RS03825
cds-WP_000143447.1	WP_000143447.1
gene-SPN23F_RS03830	SPN23F_RS03830
cds-WP_000887338.1	WP_000887338.1
cds-SPN23F_RS03835	
gene-SPN23F_RS03840	SPN23F_RS03840
cds-WP_001275919.1	WP_001275919.1
gene-SPN23F_RS03850	deoD
cds-WP_000022100.1	WP_000022100.1
gene-SPN23F_RS03855	SPN23F_RS03855
cds-WP_000704759.1	WP_000704759.1
gene-SPN23F_RS03860	rpsT
cds-WP_001274003.1	WP_001274003.1
gene-SPN23F_RS03865	coaA
cds-WP_000180492.1	WP_000180492.1
cds-SPN23F_RS14185	
gene-SPN23F_RS03875	SPN23F_RS03875
cds-WP_001809884.1	WP_001809884.1
gene-SPN23F_RS03880	SPN23F_RS03880
cds-WP_001202950.1	WP_001202950.1
gene-SPN23F_RS03885	deoC
cds-WP_000773688.1	WP_000773688.1
gene-SPN23F_RS03890	SPN23F_RS03890
cds-WP_000246087.1	WP_000246087.1
gene-SPN23F_RS03895	SPN23F_RS03895
cds-WP_001036142.1	WP_001036142.1
gene-SPN23F_RS03900	SPN23F_RS03900
cds-WP_000929854.1	WP_000929854.1
gene-SPN23F_RS03905	SPN23F_RS03905
cds-WP_000038659.1	WP_000038659.1
gene-SPN23F_RS03910	SPN23F_RS03910
cds-WP_000022879.1	WP_000022879.1
cds-SPN23F_RS13500	
gene-SPN23F_RS03930	plsY
cds-WP_000628789.1	WP_000628789.1
gene-SPN23F_RS03935	parE
cds-WP_000037258.1	WP_000037258.1
cds-SPN23F_RS14085	
gene-SPN23F_RS03945	parC
cds-WP_001821666.1	WP_001821666.1
gene-SPN23F_RS03950	SPN23F_RS03950
cds-WP_000219018.1	WP_000219018.1
gene-SPN23F_RS03955	SPN23F_RS03955
cds-WP_001809072.1	WP_001809072.1
gene-SPN23F_RS03960	SPN23F_RS03960
cds-WP_000454809.1	WP_000454809.1
gene-SPN23F_RS03965	SPN23F_RS03965
cds-WP_000137265.1	WP_000137265.1
gene-SPN23F_RS03970	pcp
cds-WP_000699369.1	WP_000699369.1
gene-SPN23F_RS03975	SPN23F_RS03975
cds-WP_000037113.1	WP_000037113.1
gene-SPN23F_RS03980	SPN23F_RS03980
gene-SPN23F_RS03985	SPN23F_RS03985
gene-SPN23F_RS03990	rpsA
cds-WP_001001623.1	WP_001001623.1
cds-SPN23F_RS12120	
gene-SPN23F_RS04010	SPN23F_RS04010
cds-WP_000920158.1	WP_000920158.1
gene-SPN23F_RS04015	dnaX
cds-WP_000283791.1	WP_000283791.1
gene-SPN23F_RS04020	SPN23F_RS04020
cds-WP_001041547.1	WP_001041547.1
gene-SPN23F_RS04025	sufC
cds-WP_000114495.1	WP_000114495.1
gene-SPN23F_RS04030	sufD
cds-WP_000196409.1	WP_000196409.1
gene-SPN23F_RS04035	SPN23F_RS04035
cds-WP_000887731.1	WP_000887731.1
gene-SPN23F_RS04040	sufU
cds-WP_001218480.1	WP_001218480.1
gene-SPN23F_RS04045	sufB
cds-WP_000797060.1	WP_000797060.1
gene-SPN23F_RS04055	pbp3
cds-WP_000719163.1	WP_000719163.1
gene-SPN23F_RS04060	cozE
cds-WP_000489841.1	WP_000489841.1
gene-SPN23F_RS12130	ssrA
gene-SPN23F_RS04065	SPN23F_RS04065
gene-SPN23F_RS04070	SPN23F_RS04070
cds-WP_000920643.1	WP_000920643.1
gene-SPN23F_RS04075	pfkB
cds-WP_000640779.1	WP_000640779.1
gene-SPN23F_RS04080	SPN23F_RS04080
cds-WP_000701447.1	WP_000701447.1
gene-SPN23F_RS04085	SPN23F_RS04085
cds-WP_277618925.1	WP_277618925.1
gene-SPN23F_RS04090	SPN23F_RS04090
cds-WP_000073931.1	WP_000073931.1
gene-SPN23F_RS04095	SPN23F_RS04095
cds-WP_000638997.1	WP_000638997.1
gene-SPN23F_RS04100	thiI
cds-WP_001200062.1	WP_001200062.1
gene-SPN23F_RS12135	SPN23F_RS12135
cds-WP_001076703.1	WP_001076703.1
gene-SPN23F_RS04115	SPN23F_RS04115
cds-WP_001108634.1	WP_001108634.1
gene-SPN23F_RS14090	SPN23F_RS14090
cds-WP_001818232.1	WP_001818232.1
gene-SPN23F_RS04120	SPN23F_RS04120
cds-WP_000627748.1	WP_000627748.1
gene-SPN23F_RS04125	SPN23F_RS04125
cds-WP_001814217.1	WP_001814217.1
gene-SPN23F_RS04130	SPN23F_RS04130
cds-WP_000756111.1	WP_000756111.1
gene-SPN23F_RS04135	SPN23F_RS04135
cds-WP_000260605.1	WP_000260605.1
gene-SPN23F_RS04140	SPN23F_RS04140
cds-WP_000158366.1	WP_000158366.1
gene-SPN23F_RS04145	xerA
cds-WP_000444455.1	WP_000444455.1
gene-SPN23F_RS04150	SPN23F_RS04150
cds-WP_001819123.1	WP_001819123.1
gene-SPN23F_RS04155	SPN23F_RS04155
cds-WP_000526339.1	WP_000526339.1
gene-SPN23F_RS04160	SPN23F_RS04160
cds-WP_001042999.1	WP_001042999.1
gene-SPN23F_RS04165	SPN23F_RS04165
cds-WP_001212055.1	WP_001212055.1
gene-SPN23F_RS04170	SPN23F_RS04170
cds-WP_000561506.1	WP_000561506.1
gene-SPN23F_RS04175	pfkA
cds-WP_000820852.1	WP_000820852.1
gene-SPN23F_RS04180	pyk
cds-WP_001042814.1	WP_001042814.1
cds-SPN23F_RS14190	
gene-SPN23F_RS04190	SPN23F_RS04190
cds-WP_000749599.1	WP_000749599.1
cds-SPN23F_RS04200	
gene-SPN23F_RS04205	SPN23F_RS04205
cds-WP_000420561.1	WP_000420561.1
gene-SPN23F_RS04210	SPN23F_RS04210
cds-WP_000759790.1	WP_000759790.1
gene-SPN23F_RS04215	SPN23F_RS04215
cds-WP_000617849.1	WP_000617849.1
gene-SPN23F_RS04220	SPN23F_RS04220
cds-WP_000123613.1	WP_000123613.1
gene-SPN23F_RS14095	SPN23F_RS14095
cds-WP_000268689.1	WP_000268689.1
gene-SPN23F_RS13625	SPN23F_RS13625
cds-WP_001815868.1	WP_001815868.1
gene-SPN23F_RS04230	SPN23F_RS04230
cds-WP_000359142.1	WP_000359142.1
gene-SPN23F_RS04235	SPN23F_RS04235
cds-WP_000778576.1	WP_000778576.1
gene-SPN23F_RS04240	SPN23F_RS04240
cds-WP_001085044.1	WP_001085044.1
gene-SPN23F_RS04250	SPN23F_RS04250
cds-WP_000680766.1	WP_000680766.1
gene-SPN23F_RS04255	SPN23F_RS04255
cds-WP_000173358.1	WP_000173358.1
gene-SPN23F_RS04260	SPN23F_RS04260
cds-WP_000489409.1	WP_000489409.1
gene-SPN23F_RS04265	SPN23F_RS04265
cds-WP_255262024.1	WP_255262024.1
cds-SPN23F_RS04270	
gene-SPN23F_RS04275	SPN23F_RS04275
cds-WP_000661015.1	WP_000661015.1
cds-SPN23F_RS14195	
cds-SPN23F_RS04285	
gene-SPN23F_RS04290	speE
cds-WP_000366717.1	WP_000366717.1
gene-SPN23F_RS04295	SPN23F_RS04295
cds-WP_000088773.1	WP_000088773.1
gene-SPN23F_RS04300	nspC
cds-WP_000764364.1	WP_000764364.1
gene-SPN23F_RS04305	aguA
cds-WP_000969454.1	WP_000969454.1
gene-SPN23F_RS04310	aguB
cds-WP_001246757.1	WP_001246757.1
gene-SPN23F_RS04315	SPN23F_RS04315
cds-WP_000593571.1	WP_000593571.1
gene-SPN23F_RS04320	SPN23F_RS04320
cds-WP_000602454.1	WP_000602454.1
gene-SPN23F_RS04325	SPN23F_RS04325
cds-WP_000745369.1	WP_000745369.1
gene-SPN23F_RS04330	SPN23F_RS04330
cds-WP_001809535.1	WP_001809535.1
gene-SPN23F_RS04335	SPN23F_RS04335
cds-WP_001025704.1	WP_001025704.1
gene-SPN23F_RS04340	lspA
cds-WP_000745389.1	WP_000745389.1
gene-SPN23F_RS04345	SPN23F_RS04345
cds-WP_000403199.1	WP_000403199.1
gene-SPN23F_RS04350	cbpE
cds-WP_000728276.1	WP_000728276.1
gene-SPN23F_RS04355	proB
cds-WP_000875739.1	WP_000875739.1
gene-SPN23F_RS04360	SPN23F_RS04360
cds-WP_000254684.1	WP_000254684.1
gene-SPN23F_RS04365	proC
cds-WP_000689706.1	WP_000689706.1
gene-SPN23F_RS04370	tmk
cds-WP_000033397.1	WP_000033397.1
gene-SPN23F_RS04375	SPN23F_RS04375
cds-WP_000806714.1	WP_000806714.1
gene-SPN23F_RS04380	yabA
cds-WP_000358228.1	WP_000358228.1
gene-SPN23F_RS04385	rsmI
cds-WP_001166870.1	WP_001166870.1
cds-SPN23F_RS13850	
gene-SPN23F_RS04390	SPN23F_RS04390
cds-WP_001261449.1	WP_001261449.1
cds-SPN23F_RS04400	
gene-SPN23F_RS12175	SPN23F_RS12175
cds-WP_000997239.1	WP_000997239.1
cds-WP_000997239.1_1	WP_000997239.1
gene-SPN23F_RS04415	SPN23F_RS04415
cds-WP_000493529.1	WP_000493529.1
gene-SPN23F_RS04420	trmFO
cds-WP_000083731.1	WP_000083731.1
gene-SPN23F_RS04425	pyrH
cds-WP_000002997.1	WP_000002997.1
gene-SPN23F_RS04430	frr
cds-WP_000024409.1	WP_000024409.1
gene-SPN23F_RS04435	cvfB
cds-WP_001095450.1	WP_001095450.1
gene-SPN23F_RS04440	SPN23F_RS04440
cds-WP_001232085.1	WP_001232085.1
gene-SPN23F_RS04445	SPN23F_RS04445
cds-WP_000658183.1	WP_000658183.1
gene-SPN23F_RS12185	SPN23F_RS12185
cds-WP_001813350.1	WP_001813350.1
cds-SPN23F_RS04450	
cds-SPN23F_RS04455	
cds-SPN23F_RS13855	
gene-SPN23F_RS04475	SPN23F_RS04475
cds-WP_000443777.1	WP_000443777.1
gene-SPN23F_RS04480	SPN23F_RS04480
cds-WP_000387328.1	WP_000387328.1
gene-SPN23F_RS04485	SPN23F_RS04485
cds-WP_000942392.1	WP_000942392.1
gene-SPN23F_RS13860	SPN23F_RS13860
cds-WP_000583432.1	WP_000583432.1
gene-SPN23F_RS04495	SPN23F_RS04495
cds-WP_000939884.1	WP_000939884.1
gene-SPN23F_RS04500	SPN23F_RS04500
cds-WP_000655951.1	WP_000655951.1
gene-SPN23F_RS04505	infC
cds-WP_000848180.1	WP_000848180.1
gene-SPN23F_RS04510	rpmI
cds-WP_001125943.1	WP_001125943.1
gene-SPN23F_RS04515	rplT
cds-WP_000124836.1	WP_000124836.1
gene-SPN23F_RS04520	SPN23F_RS04520
cds-WP_000157154.1	WP_000157154.1
gene-SPN23F_RS04525	SPN23F_RS04525
cds-WP_001054489.1	WP_001054489.1
gene-SPN23F_RS04530	SPN23F_RS04530
cds-WP_000210693.1	WP_000210693.1
gene-SPN23F_RS04535	SPN23F_RS04535
cds-WP_074192727.1	WP_074192727.1
gene-SPN23F_RS04540	pavA
cds-WP_000006688.1	WP_000006688.1
gene-SPN23F_RS04545	ybeY
cds-WP_000275156.1	WP_000275156.1
gene-SPN23F_RS04550	SPN23F_RS04550
cds-WP_000378155.1	WP_000378155.1
gene-SPN23F_RS04555	era
cds-WP_000143264.1	WP_000143264.1
gene-SPN23F_RS04560	mutM
cds-WP_001114585.1	WP_001114585.1
gene-SPN23F_RS04565	coaE
cds-WP_001226118.1	WP_001226118.1
gene-SPN23F_RS04570	SPN23F_RS04570
cds-WP_000136127.1	WP_000136127.1
gene-SPN23F_RS04575	rpmG
cds-WP_001810029.1	WP_001810029.1
gene-SPN23F_RS04580	secG
cds-WP_000282517.1	WP_000282517.1
gene-SPN23F_RS04585	rnr
cds-WP_000654898.1	WP_000654898.1
gene-SPN23F_RS04590	smpB
cds-WP_001051750.1	WP_001051750.1
gene-SPN23F_RS04595	tehB
cds-WP_000413762.1	WP_000413762.1
gene-SPN23F_RS04600	coiA
cds-WP_000495909.1	WP_000495909.1
gene-SPN23F_RS04605	pepF
cds-WP_000244125.1	WP_000244125.1
gene-SPN23F_RS04610	SPN23F_RS04610
cds-WP_000230399.1	WP_000230399.1
gene-SPN23F_RS04615	prsA
cds-WP_000727935.1	WP_000727935.1
cds-SPN23F_RS04620	
cds-SPN23F_RS12930	
gene-SPN23F_RS04630	SPN23F_RS04630
cds-WP_000780815.1	WP_000780815.1
gene-SPN23F_RS04635	SPN23F_RS04635
cds-WP_001085886.1	WP_001085886.1
gene-SPN23F_RS04640	SPN23F_RS04640
cds-WP_000954117.1	WP_000954117.1
gene-SPN23F_RS04645	SPN23F_RS04645
cds-WP_001231241.1	WP_001231241.1
gene-SPN23F_RS04650	glmU
cds-WP_000064394.1	WP_000064394.1
gene-SPN23F_RS04655	SPN23F_RS04655
cds-WP_000393812.1	WP_000393812.1
gene-SPN23F_RS04660	macP
cds-WP_000520411.1	WP_000520411.1
gene-SPN23F_RS04665	SPN23F_RS04665
cds-WP_000689789.1	WP_000689789.1
gene-SPN23F_RS04670	rocS
cds-WP_000021242.1	WP_000021242.1
gene-SPN23F_RS04675	SPN23F_RS04675
cds-WP_000440255.1	WP_000440255.1
gene-SPN23F_RS04680	SPN23F_RS04680
cds-WP_000801724.1	WP_000801724.1
cds-SPN23F_RS12200	
gene-SPN23F_RS04695	SPN23F_RS04695
cds-WP_000226583.1	WP_000226583.1
cds-SPN23F_RS04700	
gene-SPN23F_RS04705	ccdA2
cds-WP_000447990.1	WP_000447990.1
gene-SPN23F_RS04710	sdbB
cds-WP_000757373.1	WP_000757373.1
gene-SPN23F_RS04715	SPN23F_RS04715
cds-WP_001020311.1	WP_001020311.1
gene-SPN23F_RS04720	adcAII
cds-WP_000744528.1	WP_000744528.1
gene-SPN23F_RS04725	phtD
cds-WP_000700316.1	WP_000700316.1
gene-SPN23F_RS04730	phtE
cds-WP_000672557.1	WP_000672557.1
cds-SPN23F_RS14100	
cds-SPN23F_RS14105	
cds-SPN23F_RS04745	
gene-SPN23F_RS04750	pepT
cds-WP_000222032.1	WP_000222032.1
gene-SPN23F_RS04755	hemH
cds-WP_000709247.1	WP_000709247.1
gene-SPN23F_RS04760	mscL
cds-WP_000916795.1	WP_000916795.1
gene-SPN23F_RS04765	SPN23F_RS04765
cds-WP_000742997.1	WP_000742997.1
gene-SPN23F_RS04770	SPN23F_RS04770
cds-WP_000737071.1	WP_000737071.1
gene-SPN23F_RS04775	SPN23F_RS04775
gene-SPN23F_RS04780	SPN23F_RS04780
cds-WP_000542473.1	WP_000542473.1
gene-SPN23F_RS04785	dapA
cds-WP_000121618.1	WP_000121618.1
gene-SPN23F_RS04790	mnmE
cds-WP_000632758.1	WP_000632758.1
gene-SPN23F_RS04795	SPN23F_RS04795
cds-WP_001117401.1	WP_001117401.1
gene-SPN23F_RS04800	SPN23F_RS04800
cds-WP_000068143.1	WP_000068143.1
gene-SPN23F_RS04805	prfA
cds-WP_001028801.1	WP_001028801.1
gene-SPN23F_RS04810	prmC
cds-WP_000761903.1	WP_000761903.1
gene-SPN23F_RS04815	SPN23F_RS04815
cds-WP_000969297.1	WP_000969297.1
gene-SPN23F_RS04820	SPN23F_RS04820
cds-WP_000942935.1	WP_000942935.1
gene-SPN23F_RS04825	glyA
cds-WP_000575519.1	WP_000575519.1
gene-SPN23F_RS04830	SPN23F_RS04830
cds-WP_000356095.1	WP_000356095.1
gene-SPN23F_RS04835	pmp23
cds-WP_000476374.1	WP_000476374.1
gene-SPN23F_RS04840	SPN23F_RS04840
cds-WP_001227759.1	WP_001227759.1
gene-SPN23F_RS04845	rlmD
cds-WP_000914566.1	WP_000914566.1
gene-SPN23F_RS04850	SPN23F_RS04850
cds-WP_000710803.1	WP_000710803.1
gene-SPN23F_RS04855	SPN23F_RS04855
cds-WP_001207345.1	WP_001207345.1
gene-SPN23F_RS04860	SPN23F_RS04860
cds-WP_000790743.1	WP_000790743.1
gene-SPN23F_RS04865	SPN23F_RS04865
cds-WP_001244693.1	WP_001244693.1
gene-SPN23F_RS04870	SPN23F_RS04870
cds-WP_001180357.1	WP_001180357.1
gene-SPN23F_RS04875	SPN23F_RS04875
cds-WP_000677519.1	WP_000677519.1
cds-SPN23F_RS13875	
gene-SPN23F_RS12220	SPN23F_RS12220
cds-WP_229294054.1	WP_229294054.1
cds-SPN23F_RS13400	
gene-SPN23F_RS13505	SPN23F_RS13505
cds-WP_001058283.1	WP_001058283.1
cds-SPN23F_RS13880	
gene-SPN23F_RS04905	SPN23F_RS04905
cds-WP_000234989.1	WP_000234989.1
gene-SPN23F_RS04910	SPN23F_RS04910
cds-WP_000179769.1	WP_000179769.1
gene-SPN23F_RS04915	SPN23F_RS04915
cds-WP_000262020.1	WP_000262020.1
gene-SPN23F_RS04920	SPN23F_RS04920
cds-WP_000900020.1	WP_000900020.1
gene-SPN23F_RS04925	SPN23F_RS04925
cds-WP_000710119.1	WP_000710119.1
gene-SPN23F_RS04930	SPN23F_RS04930
cds-WP_000423450.1	WP_000423450.1
cds-SPN23F_RS13885	
gene-SPN23F_RS04945	pezA
cds-WP_000579605.1	WP_000579605.1
gene-SPN23F_RS04950	pezT
cds-WP_000405356.1	WP_000405356.1
gene-SPN23F_RS04955	SPN23F_RS04955
cds-WP_001814230.1	WP_001814230.1
gene-SPN23F_RS14250	SPN23F_RS14250
cds-WP_000530001.1	WP_000530001.1
gene-SPN23F_RS04965	SPN23F_RS04965
cds-WP_000529543.1	WP_000529543.1
gene-SPN23F_RS04970	mobC
cds-WP_000263037.1	WP_000263037.1
cds-SPN23F_RS13630	
gene-SPN23F_RS04990	SPN23F_RS04990
cds-WP_000837490.1	WP_000837490.1
gene-SPN23F_RS12940	SPN23F_RS12940
cds-WP_133457516.1	WP_133457516.1
gene-SPN23F_RS04995	SPN23F_RS04995
cds-WP_000059559.1	WP_000059559.1
gene-SPN23F_RS12235	SPN23F_RS12235
cds-WP_029645654.1	WP_029645654.1
gene-SPN23F_RS13520	SPN23F_RS13520
cds-WP_000757483.1	WP_000757483.1
gene-SPN23F_RS05015	SPN23F_RS05015
cds-WP_001018880.1	WP_001018880.1
gene-SPN23F_RS05020	SPN23F_RS05020
cds-WP_000593060.1	WP_000593060.1
gene-SPN23F_RS05025	SPN23F_RS05025
cds-WP_000771190.1	WP_000771190.1
gene-SPN23F_RS05030	SPN23F_RS05030
cds-WP_000286251.1	WP_000286251.1
cds-SPN23F_RS12245	
gene-SPN23F_RS05035	ftsW
cds-WP_000703357.1	WP_000703357.1
gene-SPN23F_RS05040	ppc
cds-WP_000058193.1	WP_000058193.1
gene-SPN23F_RS05045	trpX
cds-WP_000792155.1	WP_000792155.1
gene-SPN23F_RS05050	SPN23F_RS05050
cds-WP_000637238.1	WP_000637238.1
gene-SPN23F_RS05055	SPN23F_RS05055
cds-WP_000125412.1	WP_000125412.1
gene-SPN23F_RS05060	dnaG
cds-WP_000227855.1	WP_000227855.1
gene-SPN23F_RS05065	rpoD
cds-WP_000201898.1	WP_000201898.1
gene-SPN23F_RS05070	SPN23F_RS05070
cds-WP_000331928.1	WP_000331928.1
gene-SPN23F_RS05075	cpoA
cds-WP_000412279.1	WP_000412279.1
gene-SPN23F_RS05080	SPN23F_RS05080
cds-WP_001219427.1	WP_001219427.1
gene-SPN23F_RS05085	SPN23F_RS05085
cds-WP_001256250.1	WP_001256250.1
gene-SPN23F_RS05090	SPN23F_RS05090
cds-WP_000863859.1	WP_000863859.1
gene-SPN23F_RS05095	obgE
cds-WP_000061646.1	WP_000061646.1
gene-SPN23F_RS13525	SPN23F_RS13525
cds-WP_001808548.1	WP_001808548.1
gene-SPN23F_RS05105	SPN23F_RS05105
cds-WP_001227083.1	WP_001227083.1
gene-SPN23F_RS05110	SPN23F_RS05110
cds-WP_001028731.1	WP_001028731.1
gene-SPN23F_RS05115	spxR
cds-WP_000033831.1	WP_000033831.1
gene-SPN23F_RS05120	SPN23F_RS05120
cds-WP_000631543.1	WP_000631543.1
cds-SPN23F_RS12260	
gene-SPN23F_RS05140	pcrA
cds-WP_000992887.1	WP_000992887.1
gene-SPN23F_RS05145	radC
cds-WP_000286922.1	WP_000286922.1
gene-SPN23F_RS05150	SPN23F_RS05150
cds-WP_000743330.1	WP_000743330.1
gene-SPN23F_RS05155	SPN23F_RS05155
cds-WP_000653403.1	WP_000653403.1
gene-SPN23F_RS05160	SPN23F_RS05160
cds-WP_000462487.1	WP_000462487.1
gene-SPN23F_RS05165	SPN23F_RS05165
cds-WP_000863509.1	WP_000863509.1
gene-SPN23F_RS05170	SPN23F_RS05170
cds-WP_000639667.1	WP_000639667.1
gene-SPN23F_RS05175	SPN23F_RS05175
cds-WP_001283813.1	WP_001283813.1
gene-SPN23F_RS05180	SPN23F_RS05180
cds-WP_000681292.1	WP_000681292.1
gene-SPN23F_RS05185	SPN23F_RS05185
cds-WP_000171678.1	WP_000171678.1
gene-SPN23F_RS05190	SPN23F_RS05190
cds-WP_000799059.1	WP_000799059.1
gene-SPN23F_RS05195	SPN23F_RS05195
cds-WP_001210007.1	WP_001210007.1
gene-SPN23F_RS05200	pta
cds-WP_000451584.1	WP_000451584.1
cds-SPN23F_RS12265	
gene-SPN23F_RS05220	SPN23F_RS05220
cds-WP_000981526.1	WP_000981526.1
gene-SPN23F_RS05225	SPN23F_RS05225
cds-WP_000509042.1	WP_000509042.1
gene-SPN23F_RS05230	rplU
cds-WP_000109141.1	WP_000109141.1
gene-SPN23F_RS05235	SPN23F_RS05235
cds-WP_000613700.1	WP_000613700.1
gene-SPN23F_RS05240	rpmA
cds-WP_000916509.1	WP_000916509.1
cds-SPN23F_RS12945	
gene-SPN23F_RS05250	SPN23F_RS05250
cds-WP_000587444.1	WP_000587444.1
gene-SPN23F_RS05255	SPN23F_RS05255
cds-WP_000592056.1	WP_000592056.1
gene-SPN23F_RS05260	SPN23F_RS05260
cds-WP_000161400.1	WP_000161400.1
gene-SPN23F_RS05265	SPN23F_RS05265
cds-WP_001284639.1	WP_001284639.1
gene-SPN23F_RS05270	SPN23F_RS05270
cds-WP_000584856.1	WP_000584856.1
gene-SPN23F_RS05275	SPN23F_RS05275
cds-WP_000400565.1	WP_000400565.1
